"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"giraffe",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.302235262413494,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-0.346843987809648,0,0,0,0,0,0,0,0,0,0.34214991373299,0,0,0,-0.399011937560506,0,0,0,0,0,0,0,0
"goat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433200112721982,0,1,0,0,0.370678563451675,0,0,0,0,0,0.20385887657505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gorilla",0,0,0,0,0,0,0,0,0.328687867566958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.328687867566958,0,0,0,0,0,0.588250763738528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hawk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.411376675603721,0,0,0,0.674199862463242,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.433200112721982,0.438229910601107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"horse",0,0,0,0,0,0,0,0,0,0,0,0,0,0.229094897476328,0,0,0,0,0,0,0,0,0,0.293640068444207,0,0.370678563451675,0,0,1,0,0,0,0,0,0.496929346597888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hummingbird",0,0,0,0,0.229227953237502,0,0,0,0.35,-0.693375245281536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.272554057547699
"kangaroo",0,0,0,0,0,-0.282038037408883,0,-0.316227766016838,0,0,0,0,0,0,0,0,-0.209165006633519,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.282038037408883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lemur",0,0,0,0,0,0,0,0,0.625,0,0,0.51604684654214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.328687867566958,0,0,0.35,0,1,0,0,0,0,0,0.438229910601107,0.847791247890659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.340692571934623
"leopard",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.198810693121886,0,0,0,0,0.229227953237502,0,0,0,0,0,0,0,0,0,0,0,-0.426401432711221,0,0
"lion",0,0,0,0,0,0,0,0,-0.216930457818656,0,0,-0.327842673266191,-0.205882352941177,0,0,0,0.27116307227332,0,0,0,-0.368781778291715,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.365636212063565,0,0,-0.460977222864644,0,0,0,0,0,0,0,0,0,0.548795472456028,0,0,0,0,0
