"","aardvark","alligator","ant","anteater","antelope","ape","bear","bird","blue jay","cat","cheetah","chimpanzee","cow","crow","dog","dolphin","donkey","duck","eagle","elephant","ferret","fish","fox","frog","giraffe","goat","gorilla","hawk","horse","hummingbird","kangaroo","lemur","leopard","lion","lizard","monkey","mouse","orangutan","ostrich","panther","parrot","penguin","pig","polar bear","porcupine","rabbit","rat","raven","rhinoceros","snake","spider","squirrel","tiger","turtle","whale","wolf","worm","zebra"
"cheetah",0.270833333333333,0,0,0,0,0,0,0,0,0,1,0,-0.315063018906302,0,0,0,-0.180144173030723,0,-0.207289049397213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221162934232346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"chimpanzee",0,0,0,0,0,0,-0.269407953040162,0,0,-0.313164384590661,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.41478067789217,0,0.493914580573631,0,0,0,0,0,0,0,0.313164384590661,0,0,0.313164384590661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.366617787553383,0
"cow",-0.315063018906302,0,0,0,0,0,0,0,0,0,-0.315063018906302,0,1,0.349089958725762,0,0,0.17937941173235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461094077616895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"crow",0,0,0,0.298456439592633,-0.195529486695138,0,0,0,0,0,0,0,0.349089958725762,1,0,0,0.610540626519501,0,0,0.169411303499267,0,0,0,0,0,0,0,0,0,0.685344416842342,0,0,0,0,0,0,0,0,0.313164384590661,0,0,0,0.308112609420893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dog",0,0,0,0,0,0,0.408248290463863,0,0,0.897527467855751,0,0,0,0,1,0,0,0,0,0.256718015405135,0,0,0,0,0,0,-0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.185695338177052,0,0,0,0,0,0,0
"dolphin",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166666666666667,0,0,0,0,0,0,0,0,0,0,-0.373408022407469,0,0,0.393178549746392,0,0
"donkey",0,0,0,0,-0.320256307610174,-0.211340986102904,0,0,-0.211340986102904,-0.0792934711266737,-0.180144173030723,0,0.17937941173235,0.610540626519501,0,0,1,0,-0.116677766149773,0.0485819240108448,0,0,0,0,0,0.320256307610174,0,0,0.343810539153671,0.418430609640565,0,0,-0.0533760512683624,0,0,0,0,0,0,0,0,0,0.263640625262853,0,0,0,0,0,0,0,-0.267615465052524,0,0,0,0,0,0,0
"duck",0,0,0,0,0,0,-0.269407953040162,0,0,-0.313164384590661,0,0,0,0,0,0,0,1,0,-0.369624662180218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43994134506406,0,0,0,0,0,0,0,0,0,-0.211340986102904,0,0,0.313164384590661,0,0,0,0,0,-0.311085508419128,0,0,0
"eagle",0,0,0,0,0,0,0,0,0,0,-0.207289049397213,0,0,0,0,0,-0.116677766149773,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.359347998116796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"elephant",0,0,0,0,0.392856356907858,0,0.0857492925712544,0,0,0.316364338557842,0,0,0,0.169411303499267,0.256718015405135,0,0.0485819240108448,-0.369624662180218,0,1,0,0,0,0,0,0,0,0,0.143790849673203,0,0,0,0.396746023807936,0,0,0,0,0,0.442043322368492,0,0,0,0.340659057343825,0,0,0.17937941173235,0,0,0,0,-0.164682806372575,0,0,0,0.26403934479378,0,0,0
"ferret",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.320256307610174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214625462533077,0,0,0,0,-0.177821689789755,0,0
"fish",0,0,0,0,0,0,0,0.43007561540389,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.362103412188951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143356643356643,0,0,0,0,0,0,0,0
"fox",0,0,0.408248290463863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,-0.342997170285018,0,0,0,0,0,0,0,0,0,0,0.492365963917331,0,0,0,0,0,0,0,0,0,0,0.151619608715781,0,0,0,0,0,0,0
"frog",0,0,0,0,0,0,0,0.46475800154489,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362103412188951,0,1,0,0,0,0,0,0,0,0,0,-0.14142135623731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.531085004543794,0,0.366617787553383,0,0.247593784236069,0,0,0,-0.280975743474508
"giraffe",0,0,0,0,0,0,0.288675134594813,0,0,0.218844054766204,0,-0.41478067789217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"goat",0,0,0,0,0.25,-0.293294230042707,0,0,0,0,0,0,0,0,0,0,0.320256307610174,0,0,0,0,0,0,0,0,1,0,0,0,-0.201007563051842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gorilla",0,0,0,0,0,0,-0.285714285714286,0,0,-0.341144119610507,0,0.493914580573631,0,0,-0.204124145231931,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.341144119610507,0,0,0.530668630505232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.408248290463863,0
"hawk",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251259453814803,0,0.364326208031464,0,0,0,0.364326208031464,0,0,0,0,0,0,0,0,0,0
