id,group,condition,response,response_nofill,item,item_nofill,SemDis_cbowukwacsubtitle_nf_m,SemDis_cbowsubtitle_nf_m,SemDis_cbowBNCwikiukwac_nf_m,SemDis_TASA_nf_m,SemDis_glove_nf_m,SemDis_MEAN,SemDis_factor
1002,artists,common,METAL,metal,SILVER,silver,0.64409,0.73991,0.66258,0.70846,0.6142,0.67385,-0.0442
1002,artists,free,MIRROR,mirror,SILVER,silver,0.76425,0.92599,0.85184,0.9183,0.76036,0.84415,0.10459
1002,artists,common,CLOTHING,clothing,SKIRT,skirt,0.70693,0.73798,0.73879,0.7095,0.71621,0.72188,0.01399
1002,artists,free,DESIGN,design,SKIRT,skirt,0.79327,0.78192,0.85151,0.99708,0.85344,0.85544,0.11419
1002,artists,uncommon,PANT,pant,SKIRT,skirt,0.62246,0.53468,0.61847,0.90582,0.57785,0.65186,-0.08655
1002,artists,common,LEG,leg,STOMACH,stomach,0.6277,0.78033,0.65354,0.97452,0.57247,0.72171,-0.04195
1002,artists,uncommon,LEG,leg,STOMACH,stomach,0.6277,0.78033,0.65354,0.97452,0.57247,0.72171,-0.04195
1002,artists,free,ROUND,round,STOMACH,stomach,0.79416,0.9899,0.86651,0.98646,0.7929,0.88599,0.13495
1002,artists,common,CHAIR,chair,TABLE,table,0.52585,0.60076,0.81866,0.44143,0.56395,0.59013,-0.07823
1002,artists,uncommon,CHAIR,chair,TABLE,table,0.52585,0.60076,0.81866,0.44143,0.56395,0.59013,-0.07823
1002,artists,free,FELT,felt,TABLE,table,0.81325,0.93844,1.03973,1.07437,0.86992,0.94714,0.19889
1002,artists,free,BRACELET,bracelet,THUMB,thumb,0.84036,0.98026,0.836,0.94759,0.84097,0.88904,0.14675
1002,artists,uncommon,FINGER,finger,THUMB,thumb,0.48496,0.53331,0.45492,0.4294,0.31539,0.4436,-0.2407
1002,artists,common,HAND,hand,THUMB,thumb,0.53294,0.61912,0.59635,0.39034,0.53144,0.53404,-0.14252
1002,artists,uncommon,BEEF,beef,UNCLE,uncle,0.85332,0.9558,0.86509,0.98843,0.99125,0.93078,0.18127
1002,artists,free,BLACK,black,UNCLE,uncle,0.80641,0.93352,0.88883,0.97985,0.84889,0.8915,0.14662
1002,artists,common,MOM,mom,UNCLE,uncle,0.48474,0.72178,0.68792,1.04391,0.60329,0.70833,-0.08063
1002,artists,free,MOTOR,motor,WRENCH,wrench,0.71756,0.76103,0.85346,0.78589,0.98793,0.82117,0.09785
1002,artists,uncommon,RENT,rent,WRENCH,wrench,0.92022,0.91292,0.89681,1.01383,1.04401,0.95756,0.21679
1002,artists,common,TOOL,tool,WRENCH,wrench,0.6553,0.65279,0.77495,0.50622,0.79741,0.67733,-6.50E-04
1002,artists,common,ANIMAL,animal,ZEBRA,zebra,0.73348,0.70747,0.74402,0.73175,0.84574,0.75249,0.04172
1002,artists,uncommon,ANIMAL,animal,ZEBRA,zebra,0.73348,0.70747,0.74402,0.73175,0.84574,0.75249,0.04172
1002,artists,free,STRIPE,stripe,ZEBRA,zebra,0.75339,0.71159,0.78833,0.94197,0.66749,0.77255,0.04295
1003,artists,common,CAR,car,BUS,bus,0.54052,0.6057,0.61378,0.95017,0.43467,0.62897,-0.12709
