id,group,condition,response,response_clean,item,item_clean,SemDis_MEAN,SemDis_factor
1004,artists,common,SPOON,spoon,FORK,fork,0.57928,-0.09126
1004,artists,common,SCISSORS,scissors,HAIRDRESSER,hairdresser,0.8164,0.05767
1004,artists,common,ORANGE,orange,JUICER,juicer,0.76001,0.03962
1004,artists,common,PAD,pad,LILY,lily,0.8111,0.10487
1004,artists,common,GLOSS,gloss,LIP,lip,0.62043,-0.05761
1004,artists,common,KETCHUP,ketchup,MUSTARD,mustard,0.57433,-0.08329
1004,artists,common,SOUR,sour,PINEAPPLE,pineapple,0.70584,0.0373
1004,artists,common,HOLE,hole,RABBIT,rabbit,0.70188,-0.02073
1004,artists,common,BLACK,black,RAVEN,raven,0.8056,0.03912
1004,artists,common,FISH,fish,SALMON,salmon,0.37313,-0.29382
1004,artists,common,GOLD,gold,SILVER,silver,0.26369,-0.406
1004,artists,common,WOMAN,woman,SKIRT,skirt,0.78532,0.03007
1004,artists,common,ACHE,ache,STOMACH,stomach,0.62568,-0.10251
1004,artists,common,WOOD,wood,TABLECLOTH,tablecloth,0.86956,0.11964
1004,artists,common,PRINT,print,THUMB,thumb,0.83755,0.09323
1004,artists,common,AUNT,aunt,UNCLE,uncle,0.36253,-0.31397
1004,artists,common,TOOL,tool,WRENCH,wrench,0.67733,0.0027
1004,artists,common,STRIPES,stripes,ZEBRA,zebra,0.71542,-0.01173
1004,artists,free,FAST,fast,BUS,bus,0.81899,0.10126
1004,artists,free,PEACOCK,peacock,BUTTERFLY,butterfly,0.77217,-0.03462
1004,artists,free,NUTRITIOUS,nutritious,CAKE,cake,0.79884,0.09201
1004,artists,free,TASTY,tasty,CELERY,celery,0.67189,-0.02519
1004,artists,free,TROPICAL,tropical,FIR TREE,fir tree,0.98713,0.26819
1004,artists,free,OBNOXIOUS,obnoxious,FLUTE,flute,0.95931,0.23813
1004,artists,free,PITCH,pitch,FORK,fork,0.81898,0.14685
1004,artists,free,APPOINTMENT,appointment,HAIRDRESSER,hairdresser,0.79169,0.04376
1004,artists,free,COLORFUL,colorful,JUICER,juicer,0.96489,0.23391
1004,artists,free,FUNERAL,funeral,LILY,lily,0.909,0.14887
1004,artists,free,BLACK,black,LIP,lip,0.88778,0.14821
1004,artists,free,SORBET,sorbet,MUSTARD,mustard,0.7044,0.02131
1004,artists,free,SOUP,soup,PINEAPPLE,pineapple,0.74742,0.05289
1004,artists,free,LUCKY,lucky,RABBIT,rabbit,0.85423,0.10834
1004,artists,free,HOPE,hope,RAVEN,raven,0.93494,0.19216
1004,artists,free,SCALE,scale,SALMON,salmon,0.95609,0.25171
1004,artists,free,NITRATE,nitrate,SILVER,silver,0.80175,0.03338
1004,artists,free,PANTS,pants,SKIRT,skirt,0.49516,-0.17968
1004,artists,free,PLUMBING,plumbing,STOMACH,stomach,0.96363,0.2327
1004,artists,free,SETTING,setting,TABLECLOTH,tablecloth,0.9653,0.23046
1004,artists,free,TOOL,tool,THUMB,thumb,0.79624,0.07008
1004,artists,free,YOUNGER,younger,UNCLE,uncle,0.68746,-0.03308
1004,artists,free,BOLT,bolt,WRENCH,wrench,0.60022,-0.08182
1004,artists,free,GRAY,gray,ZEBRA,zebra,0.88974,0.15381
1004,artists,uncommon,YELLOW,yellow,BUS,bus,0.87326,0.1286
1004,artists,uncommon,YELLOW,yellow,BUTTERFLY,butterfly,0.79909,0.04739
1004,artists,uncommon,EAT,eat,CAKE,cake,0.69532,-0.05957
1004,artists,uncommon,CRUNCHY,crunchy,CELERY,celery,0.58415,-0.09211
1004,artists,uncommon,MANGO,mango,FIR TREE,fir tree,0.98905,0.27639
1004,artists,uncommon,MUSIC,music,FLUTE,flute,0.60068,-0.08433
1004,artists,uncommon,FOOD,food,FORK,fork,0.85565,0.12966
1004,artists,uncommon,BEAUTICIAN,beautician,HAIRDRESSER,hairdresser,0.56189,-0.21226
1004,artists,uncommon,GLASS,glass,JUICER,juicer,0.88104,0.14943
1004,artists,uncommon,PAD,pad,LILY,lily,0.8111,0.10487
1004,artists,uncommon,SPEAK,speak,LIP,lip,0.89231,0.17802
1004,artists,uncommon,MELON,melon,MUSTARD,mustard,0.78489,0.05434
1004,artists,uncommon,TEXTURE,texture,PINEAPPLE,pineapple,0.83703,0.12617
1004,artists,uncommon,HOLE,hole,RABBIT,rabbit,0.70188,-0.02073
1004,artists,uncommon,DARK,dark,RAVEN,raven,0.83306,0.06057
1004,artists,uncommon,SWIM,swim,SALMON,salmon,0.69375,0.03183
1004,artists,uncommon,SHIELD,shield,SILVER,silver,0.82673,0.04703
1004,artists,uncommon,SHIELD,shield,SKIRT,skirt,0.88439,0.13797
1004,artists,uncommon,ACHE,ache,STOMACH,stomach,0.62568,-0.10251
1004,artists,uncommon,STURDY,sturdy,TABLECLOTH,tablecloth,0.85615,0.12034
1004,artists,uncommon,TACK,tack,THUMB,thumb,0.88276,0.14541
1004,artists,uncommon,BROTHER,brother,UNCLE,uncle,0.4293,-0.3224
1004,artists,uncommon,SCREWDRIVER,screwdriver,WRENCH,wrench,0.51178,-0.16351
1004,artists,uncommon,ZOO,zoo,ZEBRA,zebra,0.71472,0.03944
1005,artists,common,TRAIN,train,BUS,bus,0.49301,-0.24674
1005,artists,common,CATERPILLAR,caterpillar,BUTTERFLY,butterfly,0.5191,-0.11525
1005,artists,common,ICE CREAM,ice cream,CAKE,cake,0.9756,0.26034
1005,artists,common,CARROT,carrot,CELERY,celery,0.53744,-0.19753
1005,artists,common,CHRISTMAS,christmas,FIR TREE,fir tree,0.99178,0.2865
1005,artists,common,MAGIC,magic,FLUTE,flute,0.75689,0.00389
1005,artists,common,KNIFE,knife,FORK,fork,0.62574,-0.09247
1005,artists,common,HAIRCUT,haircut,HAIRDRESSER,hairdresser,0.58596,-0.15834
1005,artists,common,APPLE,apple,JUICER,juicer,0.7759,0.03087
1005,artists,common,FLOWER,flower,LILY,lily,0.70957,-0.05943
1005,artists,common,MOUTH,mouth,LIP,lip,0.68326,-0.04724
1005,artists,common,KETCHUP,ketchup,MUSTARD,mustard,0.57433,-0.08329
1005,artists,common,COCONUT,coconut,PINEAPPLE,pineapple,0.56408,-0.1623
1005,artists,common,BUNNY,bunny,RABBIT,rabbit,0.50373,-0.23081
